Time,StudentID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ReadingScore,WritingScore,PredictedMathScore,MathScore
2024-11-12 01:24:39.033311561,13635,Female,1,Some High School,Standard,Completed,90,94,82.0,86
2024-11-12 01:26:31.900718484,15343,Male,0,Some High School,Free or Reduced,Not completed,28,28,32.0,32
2024-11-12 01:28:24.768125408,4451,Male,2,Some College,Free or Reduced,Not completed,52,48,55.0,58
2024-11-12 01:30:17.635532331,7147,Male,1,High School,Free or Reduced,Not completed,54,51,55.0,58
2024-11-12 01:32:10.502939255,19915,Male,3,Some High School,Standard,Not completed,76,68,78.0,79
2024-11-12 01:34:03.370346178,27306,Male,5,Associates,Free or Reduced,Not completed,80,74,84.0,83
2024-11-12 01:35:56.237753102,827,Female,2,Some High School,Standard,Not completed,69,76,68.0,65
2024-11-12 01:37:49.105160026,26215,Female,5,Bachelors,Standard,Not completed,88,88,78.0,78
2024-11-12 01:39:41.972566949,24174,Female,0,Associates,Standard,Not completed,85,84,75.0,74
2024-11-12 01:41:34.839973873,30229,Male,5,Associates,Standard,Not completed,80,78,89.0,95
2024-11-12 01:43:27.707380796,17368,Male,1,Some College,Standard,Not completed,64,60,69.0,69
2024-11-12 01:45:20.574787720,11473,Female,2,Some College,Standard,Completed,66,73,62.0,63
2024-11-12 01:47:13.442194644,27581,Female,1,Associates,Free or Reduced,Completed,76,80,68.0,70
2024-11-12 01:49:06.309601567,7783,Male,1,Some College,Standard,Not completed,66,66,71.0,74
2024-11-12 01:50:59.177008491,10380,Male,5,Some College,Standard,Not completed,67,62,73.0,78
2024-11-12 01:52:52.044415414,30003,Male,2,Some College,Standard,Completed,76,71,78.0,73
2024-11-12 01:54:44.911822338,2443,Female,2,Some High School,Free or Reduced,Not completed,74,68,59.0,59
2024-11-12 01:56:37.779229261,24938,Male,1,Associates,Standard,Not completed,67,68,73.0,77
2024-11-12 01:58:30.646636185,10541,Male,2,High School,Standard,Not completed,61,60,67.0,63
2024-11-12 02:00:23.514043109,16729,Male,0,Some College,Standard,Not completed,68,69,75.0,77
2024-11-12 02:02:16.381450032,814,Female,2,High School,Standard,Not completed,80,83,73.0,72
2024-11-12 02:04:09.248856956,22550,Female,2,Some High School,Standard,Not completed,68,65,60.0,64
2024-11-12 02:06:02.116263879,12999,Male,3,Associates,Free or Reduced,Not completed,50,43,52.0,52
2024-11-12 02:07:54.983670803,11397,Female,5,Some College,Standard,Not completed,97,98,91.0,94
2024-11-12 02:09:47.851077726,29219,Male,1,Some College,Standard,Not completed,86,75,85.0,83
2024-11-12 02:11:40.718484650,30305,Female,3,Associates,Standard,Not completed,98,100,92.0,93
2024-11-12 02:13:33.585891574,14153,Male,5,High School,Standard,Completed,60,55,65.0,72
2024-11-12 02:15:26.453298497,27901,Male,5,Some College,Standard,Completed,84,91,92.0,96
2024-11-12 02:17:19.320705421,12298,Female,2,Some College,Standard,Not completed,58,58,51.0,47
2024-11-12 02:19:12.188112344,5779,Female,2,Some College,Standard,Not completed,51,51,45.0,44
2024-11-12 02:21:05.055519268,2116,Female,1,Some High School,Standard,Completed,70,65,59.0,53
2024-11-12 02:22:57.922926192,26410,Female,5,High School,Standard,Not completed,97,88,85.0,96
2024-11-12 02:24:50.790333115,793,Male,5,Some High School,Standard,Completed,84,77,89.0,89
2024-11-12 02:26:43.657740039,10147,Male,2,Some High School,Standard,Not completed,50,42,52.0,60
2024-11-12 02:28:36.525146962,6898,Female,5,Some College,Free or Reduced,Not completed,84,83,78.0,79
2024-11-12 02:30:29.392553886,2674,Male,1,High School,Standard,Completed,60,57,62.0,55
2024-11-12 02:32:22.259960809,16478,Male,2,Some High School,Free or Reduced,Not completed,68,65,70.0,73
2024-11-12 02:34:15.127367733,15770,Male,3,High School,Standard,Completed,80,83,85.0,89
2024-11-12 02:36:07.994774657,20609,Female,1,Associates,Standard,Not completed,67,68,59.0,56
2024-11-12 02:38:00.862181580,3756,Female,1,Associates,Standard,Completed,68,70,60.0,66
2024-11-12 02:39:53.729588504,2891,Male,2,Some High School,Standard,Not completed,30,38,43.0,47
2024-11-12 02:41:46.596995427,18755,Female,5,Associates,Standard,Not completed,72,74,71.0,73
2024-11-12 02:43:39.464402351,14382,Female,3,Associates,Standard,Not completed,78,77,69.0,72
2024-11-12 02:45:32.331809274,27804,Male,2,Associates,Standard,Completed,76,78,79.0,86
2024-11-12 02:47:25.199216198,20103,Female,3,Some College,Standard,Not completed,73,73,67.0,66
2024-11-12 02:49:18.066623122,3228,Male,1,Masters,Standard,Not completed,83,76,85.0,79
2024-11-12 02:51:10.934030045,7863,Female,1,Some College,Standard,Not completed,66,60,53.0,60
2024-11-12 02:53:03.801436969,6359,Female,3,Bachelors,Free or Reduced,Not completed,58,66,55.0,58
2024-11-12 02:54:56.668843892,29418,Female,5,Some College,Standard,Not completed,72,69,64.0,67
2024-11-12 02:56:49.536250816,23710,Female,2,High School,Standard,Not completed,72,76,69.0,84
2024-11-12 02:58:42.403657740,22412,Male,1,High School,Free or Reduced,Not completed,46,36,44.0,44
2024-11-12 03:00:35.271064663,27429,Female,3,High School,Free or Reduced,Not completed,59,60,50.0,49
2024-11-12 03:02:28.138471587,13429,Male,3,Some College,Standard,Not completed,65,62,70.0,71
2024-11-12 03:04:21.005878510,11104,Female,0,Some College,Standard,Not completed,64,56,52.0,58
2024-11-12 03:06:13.873285434,18249,Female,3,Some College,Standard,Not completed,49,48,42.0,39
2024-11-12 03:08:06.740692357,13946,Female,5,Some College,Standard,Not completed,86,75,75.0,72
2024-11-12 03:09:59.608099281,4612,Female,0,Some High School,Standard,Not completed,96,88,77.0,79
2024-11-12 03:11:52.475506205,26433,Female,3,Associates,Standard,Completed,71,84,67.0,67
2024-11-12 03:13:45.342913128,19029,Male,2,Masters,Free or Reduced,Completed,64,69,69.0,66
2024-11-12 03:15:38.210320052,2243,Female,0,High School,Free or Reduced,Not completed,69,65,56.0,59
2024-11-12 03:17:31.077726975,5373,Male,5,High School,Standard,Not completed,83,83,92.0,95
2024-11-12 03:19:23.945133899,2336,Male,1,Some College,Standard,Completed,85,82,85.0,81
2024-11-12 03:21:16.812540822,17334,Female,1,Bachelors,Free or Reduced,Completed,58,59,48.0,45
2024-11-12 03:23:09.679947746,11260,Male,2,Associates,Standard,Completed,82,81,84.0,84
2024-11-12 03:25:02.547354670,1120,Female,1,Associates,Standard,Not completed,85,79,72.0,68
2024-11-12 03:26:55.414761593,10789,Female,3,Some High School,Standard,Not completed,73,72,62.0,64
2024-11-12 03:28:48.282168517,18588,Female,0,Masters,Standard,Not completed,86,87,75.0,77
2024-11-12 03:30:41.149575440,419,Male,5,High School,Free or Reduced,Completed,56,54,56.0,57
2024-11-12 03:32:34.016982364,922,Male,3,High School,Standard,Not completed,66,66,72.0,72
2024-11-12 03:34:26.884389288,9446,Male,3,Some High School,Standard,Not completed,49,54,62.0,59
2024-11-12 03:36:19.751796211,25053,Female,2,Some High School,Free or Reduced,Completed,58,59,49.0,54
2024-11-12 03:38:12.619203135,26611,Male,3,Bachelors,Standard,Not completed,69,68,74.0,76
2024-11-12 03:40:05.486610058,5408,Female,2,Some College,Standard,Completed,61,61,52.0,55
2024-11-12 03:41:58.354016982,5788,Female,2,Some High School,Standard,Completed,74,76,66.0,74
2024-11-12 03:43:51.221423905,22126,Male,5,Associates,Standard,Not completed,68,64,74.0,72
2024-11-12 03:45:44.088830829,15374,Female,3,Bachelors,Standard,Not completed,89,85,75.0,80
2024-11-12 03:47:36.956237753,24051,Male,2,Masters,Standard,Completed,90,93,93.0,84
2024-11-12 03:49:29.823644676,21951,Male,3,Associates,Free or Reduced,Not completed,68,66,71.0,76
2024-11-12 03:51:22.691051600,24519,Female,2,Associates,Free or Reduced,Not completed,66,64,54.0,47
2024-11-12 03:53:15.558458523,17586,Male,1,Associates,Standard,Not completed,75,66,74.0,68
2024-11-12 03:55:08.425865447,27202,Female,2,Some College,Standard,Not completed,27,25,14.0,10
2024-11-12 03:57:01.293272371,22149,Male,5,Some High School,Standard,Not completed,80,72,88.0,85
2024-11-12 03:58:54.160679294,8389,Female,2,High School,Free or Reduced,Completed,80,81,71.0,70
2024-11-12 04:00:47.028086218,1970,Male,3,Some College,Standard,Not completed,64,72,72.0,79
2024-11-12 04:02:39.895493141,11302,Female,3,Some High School,Free or Reduced,Not completed,75,75,67.0,65
2024-11-12 04:04:32.762900065,4018,Female,3,Masters,Free or Reduced,Not completed,93,88,76.0,75
2024-11-12 04:06:25.630306988,26727,Male,3,Bachelors,Free or Reduced,Completed,56,52,55.0,49
2024-11-12 04:08:18.497713912,3687,Female,2,Bachelors,Standard,Not completed,89,92,82.0,88
2024-11-12 04:10:11.365120836,18381,Female,3,High School,Free or Reduced,Completed,83,84,75.0,71
2024-11-12 04:12:04.232527759,20417,Male,3,High School,Free or Reduced,Completed,58,55,58.0,52
2024-11-12 04:13:57.099934683,12790,Female,3,Some College,Standard,Completed,79,82,71.0,71
2024-11-12 04:15:49.967341606,11246,Female,3,Some College,Standard,Not completed,69,71,61.0,53
2024-11-12 04:17:42.834748530,1248,Female,2,Associates,Free or Reduced,Not completed,78,78,69.0,65
2024-11-12 04:19:35.702155453,2192,Male,0,Some College,Standard,Not completed,62,63,69.0,69
2024-11-12 04:21:28.569562377,19096,Female,2,Some High School,Standard,Completed,77,76,67.0,57
2024-11-12 04:23:21.436969301,9184,Male,0,Associates,Standard,Completed,68,67,71.0,67
2024-11-12 04:25:14.304376224,18574,Male,3,Some College,Free or Reduced,Not completed,48,52,55.0,55
2024-11-12 04:27:07.171783148,4670,Male,5,Masters,Standard,Not completed,80,79,89.0,92
2024-11-12 04:29:00.039190071,21526,Female,2,Some High School,Standard,Completed,72,69,61.0,63
2024-11-12 04:30:52.906596995,5984,Male,2,Bachelors,Standard,Completed,76,78,79.0,75
2024-11-12 04:32:45.774003919,6565,Male,2,High School,Standard,Not completed,68,59,70.0,72
2024-11-12 04:34:38.641410842,7804,Female,3,Associates,Standard,Not completed,58,59,51.0,51
2024-11-12 04:36:31.508817766,11954,Male,2,Associates,Standard,Completed,78,78,80.0,80
2024-11-12 04:38:24.376224689,6943,Female,5,Bachelors,Standard,Completed,80,84,77.0,71
2024-11-12 04:40:17.243631613,28173,Male,0,High School,Standard,Completed,65,69,73.0,74
2024-11-12 04:42:10.111038536,9510,Female,3,Masters,Free or Reduced,Not completed,65,64,55.0,55
2024-11-12 04:44:02.978445460,26439,Female,0,Some College,Standard,Completed,54,62,48.0,48
2024-11-12 04:45:55.845852384,10535,Female,0,Some High School,Free or Reduced,Not completed,50,39,36.0,35
2024-11-12 04:47:48.713259307,27025,Male,3,Associates,Standard,Not completed,92,83,92.0,95
2024-11-12 04:49:41.580666231,18520,Male,1,Bachelors,Standard,Not completed,23,19,27.0,22
2024-11-12 04:51:34.448073154,17449,Male,2,High School,Standard,Not completed,81,73,85.0,87
2024-11-12 04:53:27.315480078,14060,Female,5,Some College,Standard,Completed,68,73,67.0,69
2024-11-12 04:55:20.182887001,16984,Female,1,Bachelors,Free or Reduced,Not completed,56,49,44.0,46
2024-11-12 04:57:13.050293925,20611,Female,3,Some College,Standard,Not completed,59,54,50.0,56
2024-11-12 04:59:05.917700849,27197,Female,2,Associates,Standard,Not completed,70,69,61.0,57
2024-11-12 05:00:58.785107772,7577,Male,2,Masters,Standard,Completed,98,100,96.0,100
2024-11-12 05:02:51.652514696,77,Male,0,Bachelors,Standard,Completed,78,81,80.0,80
2024-11-12 05:04:44.519921619,23930,Male,5,Associates,Standard,Completed,76,79,86.0,87
2024-11-12 05:06:37.387328543,19282,Female,2,Some High School,Standard,Not completed,53,50,45.0,43
2024-11-12 05:08:30.254735467,15524,Male,3,Some College,Standard,Completed,61,68,69.0,57
2024-11-12 05:10:23.122142390,21204,Female,2,Some High School,Standard,Not completed,74,73,67.0,71
2024-11-12 05:12:15.989549314,25890,Female,3,Associates,Free or Reduced,Not completed,67,67,57.0,65
2024-11-12 05:14:08.856956237,23325,Female,1,Some College,Standard,Completed,100,100,92.0,89
2024-11-12 05:16:01.724363161,22797,Female,2,Some College,Standard,Not completed,89,91,81.0,76
2024-11-12 05:17:54.591770084,25828,Female,3,Associates,Free or Reduced,Completed,93,94,85.0,82
2024-11-12 05:19:47.459177008,9064,Male,3,Some College,Standard,Completed,79,87,84.0,88
2024-11-12 05:21:40.326583932,28426,Male,2,High School,Standard,Not completed,68,69,75.0,75
2024-11-12 05:23:33.193990855,8007,Male,5,Some College,Standard,Not completed,88,82,90.0,91
2024-11-12 05:25:26.061397779,21852,Female,2,Some College,Standard,Not completed,81,81,72.0,66
2024-11-12 05:27:18.928804702,5951,Male,1,Some High School,Standard,Completed,82,83,84.0,79
2024-11-12 05:29:11.796211626,28219,Male,3,Associates,Standard,Completed,90,87,92.0,92
2024-11-12 05:31:04.663618549,11157,Female,2,High School,Free or Reduced,Not completed,54,51,44.0,39
2024-11-12 05:32:57.531025473,3391,Female,3,Bachelors,Standard,Not completed,68,68,60.0,58
2024-11-12 05:34:50.398432397,5415,Male,2,Some College,Standard,Completed,54,61,64.0,61
2024-11-12 05:36:43.265839320,18944,Male,1,Some High School,Free or Reduced,Not completed,54,45,54.0,51
2024-11-12 05:38:36.133246244,26146,Male,0,Associates,Standard,Not completed,43,49,53.0,48
2024-11-12 05:40:29.000653167,8162,Male,3,Associates,Free or Reduced,Not completed,67,67,71.0,69
2024-11-12 05:42:21.868060091,19019,Female,3,Associates,Free or Reduced,Completed,63,68,57.0,59
2024-11-12 05:44:14.735467015,5256,Male,1,Associates,Free or Reduced,Not completed,48,42,49.0,41
2024-11-12 05:46:07.602873938,3530,Female,3,Some College,Standard,Not completed,79,76,69.0,66
2024-11-12 05:48:00.470280862,8567,Male,5,Some College,Standard,Completed,90,87,92.0,88
2024-11-12 05:49:53.337687785,1908,Male,2,Associates,Free or Reduced,Not completed,60,61,65.0,73
2024-11-12 05:51:46.205094709,29005,Male,2,Associates,Free or Reduced,Not completed,67,68,71.0,71
2024-11-12 05:53:39.072501632,29517,Female,1,High School,Free or Reduced,Not completed,70,67,56.0,48
2024-11-12 05:55:31.939908556,235,Male,3,Associates,Standard,Not completed,75,77,79.0,80
2024-11-12 05:57:24.807315480,12219,Male,3,Some High School,Standard,Not completed,64,60,69.0,74
2024-11-12 05:59:17.674722403,17988,Male,5,Some High School,Free or Reduced,Not completed,67,61,67.0,59
2024-11-12 06:01:10.542129327,7984,Female,1,Some High School,Standard,Not completed,62,53,49.0,51
2024-11-12 06:03:03.409536250,9310,Female,2,Masters,Free or Reduced,Completed,62,66,54.0,50
2024-11-12 06:04:56.276943174,28253,Female,2,Associates,Free or Reduced,Not completed,74,66,57.0,61
2024-11-12 06:06:49.144350097,3490,Female,5,Associates,Free or Reduced,Not completed,76,72,65.0,69
2024-11-12 06:08:42.011757021,26614,Female,2,Associates,Free or Reduced,Not completed,64,69,57.0,54
2024-11-12 06:10:34.879163945,14231,Female,2,Some High School,Free or Reduced,Completed,49,50,42.0,50
2024-11-12 06:12:27.746570868,27534,Male,3,Associates,Standard,Not completed,69,68,74.0,76
2024-11-12 06:14:20.613977792,18378,Male,2,High School,Free or Reduced,Not completed,44,35,43.0,42
2024-11-12 06:16:13.481384715,19208,Male,2,Associates,Standard,Completed,84,86,90.0,100
2024-11-12 06:18:06.348791639,29554,Male,2,Bachelors,Standard,Completed,64,75,71.0,68
2024-11-12 06:19:59.216198563,10568,Female,0,Associates,Free or Reduced,Not completed,81,82,72.0,70
2024-11-12 06:21:52.083605486,1342,Female,1,Bachelors,Free or Reduced,Not completed,72,75,67.0,59
2024-11-12 06:23:44.951012410,8512,Female,1,Some High School,Free or Reduced,Not completed,38,45,39.0,38
2024-11-12 06:25:37.818419333,1619,Male,5,Some College,Standard,Not completed,83,80,90.0,96
2024-11-12 06:27:30.685826257,28289,Female,3,High School,Standard,Not completed,60,60,52.0,57
2024-11-12 06:29:23.553233180,5287,Female,5,Bachelors,Standard,Completed,79,83,75.0,70
2024-11-12 06:31:16.420640104,18444,Male,3,Some High School,Standard,Completed,64,68,72.0,79
2024-11-12 06:33:09.288047028,7041,Female,2,High School,Standard,Not completed,82,73,68.0,61
2024-11-12 06:35:02.155453951,2219,Male,3,Some High School,Standard,Not completed,72,63,72.0,71
2024-11-12 06:36:55.022860875,9865,Female,3,Bachelors,Free or Reduced,Not completed,58,51,45.0,47
2024-11-12 06:38:47.890267798,22422,Male,2,Bachelors,Standard,Not completed,70,72,75.0,78
2024-11-12 06:40:40.757674722,16644,Male,2,Some High School,Free or Reduced,Not completed,54,51,55.0,56
2024-11-12 06:42:33.625081645,29680,Male,1,High School,Free or Reduced,Not completed,68,64,68.0,62
2024-11-12 06:44:26.492488569,26615,Female,3,Some High School,Free or Reduced,Completed,73,77,66.0,56
2024-11-12 06:46:19.359895493,12977,Male,2,Bachelors,Free or Reduced,Not completed,62,65,68.0,70
2024-11-12 06:48:12.227302416,25477,Male,1,High School,Standard,Not completed,54,51,58.0,61
2024-11-12 06:50:05.094709340,20128,Female,3,High School,Standard,Not completed,95,93,86.0,86
2024-11-12 06:51:57.962116263,14594,Female,3,Some High School,Standard,Not completed,56,59,51.0,55
2024-11-12 06:53:50.829523187,18410,Female,2,High School,Standard,Not completed,85,84,75.0,80
2024-11-12 06:55:43.696930111,6988,Female,2,Associates,Standard,Not completed,96,97,87.0,88
2024-11-12 06:57:36.564337034,20618,Male,0,Some College,Standard,Not completed,83,87,89.0,88
2024-11-12 06:59:29.431743958,1917,Female,1,Some College,Standard,Not completed,88,91,81.0,81
2024-11-12 07:01:22.299150881,1828,Male,2,Associates,Free or Reduced,Not completed,61,61,65.0,61
2024-11-12 07:03:15.166557805,9765,Male,2,Some College,Standard,Completed,77,82,80.0,84
2024-11-12 07:05:08.033964728,12607,Female,2,Associates,Free or Reduced,Not completed,83,77,72.0,75
2024-11-12 07:07:00.901371652,12941,Female,1,Associates,Free or Reduced,Not completed,59,57,49.0,57
2024-11-12 07:08:53.768778576,6233,Female,3,Some College,Standard,Not completed,81,78,72.0,73
2024-11-12 07:10:46.636185499,29629,Male,3,Associates,Free or Reduced,Not completed,60,59,64.0,69
2024-11-12 07:12:39.503592423,29230,Male,3,Associates,Free or Reduced,Not completed,62,59,64.0,68
2024-11-12 07:14:32.370999346,6283,Male,1,Associates,Standard,Not completed,50,52,59.0,58
2024-11-12 07:16:25.238406270,4208,Female,2,Associates,Standard,Not completed,97,94,87.0,88
2024-11-12 07:18:18.105813193,12819,Male,2,Some High School,Free or Reduced,Completed,76,77,73.0,77
2024-11-12 07:20:10.973220117,16608,Male,3,Some High School,Standard,Completed,70,73,75.0,69
2024-11-12 07:22:03.840627041,25299,Male,3,Some College,Free or Reduced,Not completed,46,50,53.0,52
2024-11-12 07:23:56.708033964,26386,Male,2,Some High School,Standard,Not completed,65,61,70.0,76
2024-11-12 07:25:49.575440888,9333,Male,5,Some High School,Standard,Not completed,64,60,73.0,81
2024-11-12 07:27:42.442847811,6469,Female,2,High School,Standard,Completed,63,59,51.0,52
2024-11-12 07:29:35.310254735,29753,Male,2,Some College,Standard,Completed,76,80,79.0,79
2024-11-12 07:31:28.177661659,13746,Male,2,Some College,Standard,Not completed,58,56,63.0,58
2024-11-12 07:33:21.045068582,15385,Female,5,Some College,Standard,Not completed,69,74,70.0,75
2024-11-12 07:35:13.912475506,13703,Female,1,High School,Standard,Not completed,68,58,57.0,55
2024-11-12 07:37:06.779882429,10954,Male,1,High School,Standard,Not completed,52,44,54.0,52
2024-11-12 07:38:59.647289353,846,Male,2,Masters,Standard,Completed,85,85,89.0,91
2024-11-12 07:40:52.514696276,20673,Male,2,Some College,Free or Reduced,Not completed,51,44,53.0,51
2024-11-12 07:42:45.382103200,5560,Female,1,Bachelors,Free or Reduced,Completed,73,70,58.0,54
2024-11-12 07:44:38.249510124,13234,Female,3,Some High School,Standard,Not completed,78,78,69.0,73
2024-11-12 07:46:31.116917047,14309,Female,1,Some College,Standard,Completed,73,69,61.0,63
2024-11-12 07:48:23.984323971,18935,Male,1,High School,Free or Reduced,Not completed,49,48,55.0,56
2024-11-12 07:50:16.851730894,13917,Male,3,Bachelors,Standard,Completed,70,71,75.0,77
2024-11-12 07:52:09.719137818,27504,Female,0,High School,Standard,Not completed,82,89,76.0,79
2024-11-12 07:54:02.586544742,117,Female,3,Bachelors,Standard,Not completed,82,79,72.0,78
2024-11-12 07:55:55.453951665,8837,Female,3,Some College,Free or Reduced,Not completed,69,68,58.0,60
2024-11-12 07:57:48.321358589,22350,Female,2,Bachelors,Free or Reduced,Not completed,71,65,56.0,61
2024-11-12 07:59:41.188765512,24579,Male,1,Associates,Standard,Not completed,89,77,87.0,85
2024-11-12 08:01:34.056172436,28746,Female,2,Some High School,Free or Reduced,Not completed,42,38,32.0,30
2024-11-12 08:03:26.923579359,14043,Male,2,Bachelors,Standard,Not completed,78,79,80.0,80
2024-11-12 08:05:19.790986283,8659,Male,3,Some College,Free or Reduced,Not completed,55,56,56.0,62
2024-11-12 08:07:12.658393207,23873,Male,3,Some High School,Standard,Not completed,38,40,46.0,49
2024-11-12 08:09:05.525800130,16389,Female,3,Some High School,Free or Reduced,Completed,84,89,76.0,81
2024-11-12 08:10:58.393207054,5342,Male,2,Some High School,Standard,Not completed,61,56,63.0,57
2024-11-12 08:12:51.260613977,9111,Male,0,Associates,Standard,Not completed,75,77,79.0,88
2024-11-12 08:14:44.128020901,10787,Female,0,Bachelors,Standard,Not completed,49,49,44.0,43
2024-11-12 08:16:36.995427824,4324,Male,2,Associates,Standard,Completed,79,78,83.0,80
2024-11-12 08:18:29.862834748,17447,Male,5,Bachelors,Free or Reduced,Completed,72,76,75.0,80
2024-11-12 08:20:22.730241672,2590,Female,3,High School,Standard,Not completed,73,80,71.0,78
2024-11-12 08:22:15.597648595,24818,Female,3,Some College,Free or Reduced,Not completed,54,55,45.0,49
2024-11-12 08:24:08.465055519,13046,Female,1,Some High School,Standard,Not completed,51,51,45.0,44
2024-11-12 08:26:01.332462442,25736,Male,2,Some College,Standard,Completed,55,65,66.0,65
2024-11-12 08:27:54.199869366,27446,Male,3,Associates,Standard,Not completed,65,67,72.0,82
2024-11-12 08:29:47.067276290,20119,Male,1,Bachelors,Standard,Completed,79,84,84.0,84
2024-11-12 08:31:39.934683213,13918,Male,3,Associates,Free or Reduced,Not completed,81,77,79.0,82
2024-11-12 08:33:32.802090137,10589,Female,3,Some High School,Standard,Not completed,59,56,52.0,53
2024-11-12 08:35:25.669497060,19901,Male,3,High School,Standard,Not completed,81,80,85.0,89
2024-11-12 08:37:18.536903984,23370,Male,2,Some College,Free or Reduced,Not completed,69,61,66.0,63
2024-11-12 08:39:11.404310907,11613,Female,3,High School,Standard,Completed,100,100,92.0,95
2024-11-12 08:41:04.271717831,27139,Male,2,High School,Standard,Not completed,21,12,27.0,24
2024-11-12 08:42:57.139124755,6767,Male,2,High School,Standard,Not completed,64,60,69.0,71
2024-11-12 08:44:50.006531678,5622,Male,2,Masters,Free or Reduced,Completed,81,78,78.0,79
2024-11-12 08:46:42.873938602,1605,Male,1,Bachelors,Free or Reduced,Not completed,55,52,56.0,58
2024-11-12 08:48:35.741345525,18117,Male,5,Some High School,Standard,Not completed,72,73,85.0,88
