Time,StudentID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ReadingScore,WritingScore,PredictedMathScore,MathScore
2024-11-14 01:03:01.558334478,23373,Female,3,Some College,Standard,Not completed,60,60,67.0,60
2024-11-14 01:04:18.732994365,28062,Male,2,Some High School,Free or Reduced,Completed,70,68,67.0,73
2024-11-14 01:05:35.907654253,9406,Male,3,Some High School,Free or Reduced,Completed,68,74,67.0,67
2024-11-14 01:06:53.082314140,9410,Female,3,Some College,Free or Reduced,Not completed,70,79,67.0,66
2024-11-14 01:08:10.256974027,24786,Male,3,High School,Free or Reduced,Completed,75,73,67.0,72
2024-11-14 01:09:27.431633915,13307,Male,3,Associates,Standard,Not completed,87,87,67.0,100
2024-11-14 01:10:44.606293802,16919,Male,0,Some College,Standard,Not completed,38,37,45.0,43
2024-11-14 01:12:01.780953689,6753,Female,5,Bachelors,Standard,Not completed,73,70,64.0,65
2024-11-14 01:13:18.955613577,27473,Male,1,Some High School,Standard,Not completed,56,54,62.0,69
2024-11-14 01:14:36.130273464,996,Male,2,High School,Free or Reduced,Not completed,55,55,56.0,62
2024-11-14 01:15:53.304933351,14836,Male,1,Some College,Standard,Not completed,72,66,72.0,71
2024-11-14 01:17:10.479593238,17813,Male,5,Some College,Free or Reduced,Completed,87,93,89.0,100
2024-11-14 01:18:27.654253126,6857,Male,3,Associates,Free or Reduced,Not completed,33,32,41.0,40
2024-11-14 01:19:44.828913013,5512,Male,2,Some High School,Free or Reduced,Not completed,46,46,52.0,54
2024-11-14 01:21:02.003572900,7109,Male,1,High School,Standard,Completed,95,95,94.0,98
2024-11-14 01:22:19.178232788,10654,Female,2,Masters,Standard,Not completed,78,79,69.0,68
2024-11-14 01:23:36.352892675,7594,Male,3,Some High School,Standard,Completed,72,69,76.0,68
2024-11-14 01:24:53.527552562,23896,Female,5,Associates,Standard,Not completed,100,97,89.0,97
2024-11-14 01:26:10.702212450,22064,Male,1,Associates,Standard,Not completed,51,49,56.0,60
2024-11-14 01:27:27.876872337,14813,Male,2,Masters,Standard,Not completed,86,84,89.0,93
2024-11-14 01:28:45.051532224,423,Female,0,Some High School,Standard,Completed,85,80,72.0,59
2024-11-14 01:30:02.226192112,24639,Male,2,Some High School,Standard,Not completed,67,67,73.0,69
2024-11-14 01:31:19.400851999,16435,Male,3,Some High School,Standard,Not completed,70,66,73.0,68
2024-11-14 01:32:36.575511886,17218,Male,2,Associates,Standard,Not completed,68,59,70.0,65
2024-11-14 01:33:53.750171774,9309,Female,1,Some College,Free or Reduced,Not completed,70,62,54.0,52
2024-11-14 01:35:10.924831661,11567,Male,1,Some College,Standard,Not completed,64,67,71.0,81
2024-11-14 01:36:28.099491548,7487,Male,3,High School,Standard,Not completed,67,63,71.0,67
2024-11-14 01:37:45.274151436,29374,Male,2,High School,Free or Reduced,Not completed,83,70,81.0,82
2024-11-14 01:39:02.448811323,5081,Male,3,Masters,Standard,Completed,99,99,96.0,99
2024-11-14 01:40:19.623471210,16638,Female,2,Some High School,Standard,Not completed,53,53,45.0,53
2024-11-14 01:41:36.798131097,12617,Female,5,Some College,Standard,Not completed,69,66,62.0,66
2024-11-14 01:42:53.972790985,2383,Female,3,High School,Standard,Completed,61,69,59.0,45
2024-11-14 01:44:11.147450872,13381,Female,5,Some College,Standard,Completed,96,98,90.0,88
2024-11-14 01:45:28.322110759,17892,Female,2,Some College,Standard,Completed,66,63,57.0,58
2024-11-14 01:46:45.496770647,19434,Female,2,Associates,Free or Reduced,Not completed,59,61,50.0,50
2024-11-14 01:48:02.671430534,5570,Female,2,Associates,Standard,Completed,75,74,65.0,56
2024-11-14 01:49:19.846090421,19961,Female,3,High School,Free or Reduced,Not completed,75,71,60.0,64
2024-11-14 01:50:37.020750309,2842,Female,0,Associates,Standard,Not completed,70,73,66.0,65
2024-11-14 01:51:54.195410196,26555,Male,3,Some College,Standard,Not completed,80,81,84.0,83
2024-11-14 01:53:11.370070083,29437,Female,1,High School,Standard,Not completed,44,42,36.0,37
2024-11-14 01:54:28.544729971,5657,Female,1,Some High School,Free or Reduced,Not completed,82,76,70.0,61
2024-11-14 01:55:45.719389858,20268,Female,3,High School,Standard,Not completed,68,68,60.0,64
2024-11-14 01:57:02.894049745,491,Female,2,Associates,Standard,Not completed,64,70,59.0,64
2024-11-14 01:58:20.068709633,6091,Female,0,High School,Standard,Completed,99,89,80.0,87
2024-11-14 01:59:37.243369520,22182,Female,2,Some High School,Free or Reduced,Not completed,69,69,58.0,54
2024-11-14 02:00:54.418029407,9526,Male,3,Associates,Free or Reduced,Completed,91,86,88.0,80
2024-11-14 02:02:11.592689295,20545,Female,3,Associates,Standard,Not completed,73,76,69.0,57
2024-11-14 02:03:28.767349182,17998,Female,3,High School,Free or Reduced,Not completed,55,51,44.0,43
2024-11-14 02:04:45.942009069,25829,Female,3,Associates,Free or Reduced,Completed,93,94,85.0,81
2024-11-14 02:06:03.116668956,24589,Male,3,Masters,Standard,Not completed,88,90,91.0,95
2024-11-14 02:07:20.291328844,22767,Female,2,Associates,Standard,Not completed,69,77,68.0,71
2024-11-14 02:08:37.465988731,2943,Male,2,Some College,Standard,Completed,84,86,90.0,89
2024-11-14 02:09:54.640648618,23484,Male,2,Some High School,Standard,Not completed,42,42,49.0,52
2024-11-14 02:11:11.815308506,8895,Male,1,High School,Free or Reduced,Not completed,70,66,71.0,71
2024-11-14 02:12:28.989968393,15773,Female,5,Some College,Standard,Completed,81,85,78.0,70
2024-11-14 02:13:46.164628280,9296,Female,3,High School,Standard,Not completed,76,67,61.0,66
2024-11-14 02:15:03.339288168,30191,Male,2,Associates,Free or Reduced,Completed,68,65,70.0,70
2024-11-14 02:16:20.513948055,7781,Male,5,Some College,Free or Reduced,Not completed,73,69,75.0,73
2024-11-14 02:17:37.688607942,24331,Female,1,High School,Standard,Not completed,71,68,59.0,62
2024-11-14 02:18:54.863267830,1710,Female,3,Bachelors,Standard,Completed,90,93,81.0,84
2024-11-14 02:20:12.037927717,2874,Male,3,Some High School,Free or Reduced,Completed,75,72,72.0,82
2024-11-14 02:21:29.212587604,14264,Female,2,Some College,Free or Reduced,Not completed,52,49,44.0,34
2024-11-14 02:22:46.387247492,14959,Male,5,Associates,Standard,Not completed,78,76,87.0,86
2024-11-14 02:24:03.561907379,10949,Male,1,Associates,Standard,Not completed,90,89,92.0,93
2024-11-14 02:25:20.736567266,6482,Male,2,Associates,Standard,Not completed,79,75,83.0,84
2024-11-14 02:26:37.911227154,28719,Male,5,High School,Standard,Completed,92,98,95.0,93
2024-11-14 02:27:55.085887041,24290,Male,2,Some High School,Standard,Completed,66,72,73.0,75
2024-11-14 02:29:12.260546928,22959,Male,5,Masters,Standard,Not completed,94,92,94.0,100
2024-11-14 02:30:29.435206815,17837,Female,3,Bachelors,Standard,Not completed,87,90,80.0,83
2024-11-14 02:31:46.609866703,9723,Male,3,High School,Standard,Not completed,78,75,80.0,81
2024-11-14 02:33:03.784526590,13593,Female,3,Associates,Standard,Completed,93,95,85.0,84
2024-11-14 02:34:20.959186477,3096,Female,1,Some College,Standard,Completed,72,81,67.0,75
2024-11-14 02:35:38.133846365,13114,Male,3,Some College,Standard,Not completed,68,69,75.0,74
2024-11-14 02:36:55.308506252,22898,Male,3,Some College,Standard,Completed,77,72,79.0,77
2024-11-14 02:38:12.483166139,13706,Male,0,Some College,Standard,Not completed,57,52,60.0,57
2024-11-14 02:39:29.657826027,3769,Female,2,Bachelors,Free or Reduced,Completed,81,76,70.0,62
2024-11-14 02:40:46.832485914,29706,Male,3,High School,Free or Reduced,Not completed,55,50,55.0,51
2024-11-14 02:42:04.007145801,1255,Male,5,Some High School,Free or Reduced,Not completed,62,61,68.0,76
2024-11-14 02:43:21.181805689,928,Male,5,Associates,Free or Reduced,Completed,43,44,49.0,46
2024-11-14 02:44:38.356465576,20761,Female,2,Some High School,Free or Reduced,Not completed,63,60,50.0,54
2024-11-14 02:45:55.531125463,22650,Male,5,Some High School,Standard,Not completed,88,83,92.0,94
2024-11-14 02:47:12.705785351,25670,Female,5,Some High School,Free or Reduced,Not completed,69,62,57.0,52
2024-11-14 02:48:29.880445238,17708,Female,2,Some High School,Standard,Completed,62,62,52.0,49
2024-11-14 02:49:47.055105125,762,Male,3,Some High School,Standard,Completed,81,86,85.0,78
2024-11-14 02:51:04.229765013,3318,Female,1,Some College,Standard,Completed,75,78,67.0,61
2024-11-14 02:52:21.404424900,13553,Female,1,Some College,Free or Reduced,Not completed,76,77,68.0,74
2024-11-14 02:53:38.579084787,11257,Female,2,Associates,Standard,Not completed,67,70,60.0,59
2024-11-14 02:54:55.753744675,14759,Male,3,Some High School,Free or Reduced,Completed,56,54,56.0,44
2024-11-14 02:56:12.928404562,29319,Female,2,Bachelors,Standard,Completed,85,84,75.0,72
2024-11-14 02:57:30.103064449,8819,Female,1,Masters,Free or Reduced,Not completed,73,79,68.0,72
2024-11-14 02:58:47.277724336,10624,Female,3,Bachelors,Free or Reduced,Completed,92,98,86.0,92
2024-11-14 03:00:04.452384224,210,Male,3,Some High School,Free or Reduced,Completed,79,79,77.0,80
2024-11-14 03:01:21.627044111,2041,Male,1,Masters,Free or Reduced,Not completed,73,72,72.0,76
2024-11-14 03:02:38.801703998,13967,Female,2,Bachelors,Free or Reduced,Completed,57,61,48.0,43
2024-11-14 03:03:55.976363886,25534,Male,3,Bachelors,Standard,Not completed,73,76,77.0,79
2024-11-14 03:05:13.151023773,27438,Male,1,Some High School,Standard,Not completed,70,66,73.0,70
2024-11-14 03:06:30.325683660,3946,Female,2,Bachelors,Free or Reduced,Not completed,63,65,54.0,57
2024-11-14 03:07:47.500343548,16067,Male,2,Associates,Free or Reduced,Not completed,64,62,68.0,59
2024-11-14 03:09:04.675003435,2856,Male,1,Associates,Standard,Not completed,59,59,66.0,68
2024-11-14 03:10:21.849663322,1090,Male,0,Some College,Free or Reduced,Not completed,68,65,68.0,66
2024-11-14 03:11:39.024323210,26233,Male,0,Bachelors,Standard,Not completed,64,64,70.0,64
2024-11-14 03:12:56.198983097,8079,Male,2,Some High School,Standard,Not completed,34,41,48.0,53
2024-11-14 03:14:13.373642984,2893,Male,2,Some High School,Standard,Not completed,65,65,71.0,78
2024-11-14 03:15:30.548302872,19521,Female,1,Bachelors,Standard,Not completed,69,64,59.0,63
2024-11-14 03:16:47.722962759,3031,Male,2,Some College,Free or Reduced,Completed,87,86,86.0,84
2024-11-14 03:18:04.897622646,12348,Female,3,Bachelors,Free or Reduced,Not completed,63,64,55.0,50
2024-11-14 03:19:22.072282534,13212,Male,5,High School,Standard,Not completed,68,63,74.0,79
2024-11-14 03:20:39.246942421,15267,Female,2,Associates,Standard,Not completed,83,82,72.0,77
2024-11-14 03:21:56.421602308,26423,Female,0,Associates,Free or Reduced,Not completed,72,79,68.0,63
2024-11-14 03:23:13.596262195,22819,Male,3,Associates,Standard,Completed,75,72,78.0,70
2024-11-14 03:24:30.770922083,14812,Male,5,Associates,Free or Reduced,Not completed,81,72,84.0,91
2024-11-14 03:25:47.945581970,14476,Male,1,Some College,Free or Reduced,Not completed,77,65,71.0,68
2024-11-14 03:27:05.120241857,8477,Female,2,Some High School,Standard,Not completed,66,65,58.0,60
2024-11-14 03:28:22.294901745,21841,Female,2,Bachelors,Standard,Completed,43,48,39.0,38
2024-11-14 03:29:39.469561632,23283,Female,3,Bachelors,Free or Reduced,Not completed,83,89,76.0,83
2024-11-14 03:30:56.644221519,4984,Female,5,Associates,Free or Reduced,Completed,65,64,56.0,59
2024-11-14 03:32:13.818881407,6865,Male,5,Associates,Standard,Not completed,77,81,87.0,90
2024-11-14 03:33:30.993541294,17925,Male,5,Some High School,Standard,Not completed,68,61,73.0,85
2024-11-14 03:34:48.168201181,13744,Female,1,High School,Standard,Not completed,85,80,72.0,72
2024-11-14 03:36:05.342861069,9668,Female,2,High School,Standard,Completed,93,97,85.0,88
2024-11-14 03:37:22.517520956,25685,Female,2,High School,Free or Reduced,Completed,85,85,75.0,75
2024-11-14 03:38:39.692180843,16355,Female,3,Bachelors,Standard,Completed,78,79,68.0,63
2024-11-14 03:39:56.866840731,3068,Female,2,Some High School,Free or Reduced,Not completed,45,47,40.0,27
2024-11-14 03:41:14.041500618,8351,Female,3,Associates,Standard,Completed,63,68,58.0,60
2024-11-14 03:42:31.216160505,8602,Male,3,Some High School,Free or Reduced,Completed,57,59,61.0,58
2024-11-14 03:43:48.390820393,733,Male,3,Some High School,Standard,Not completed,47,44,52.0,55
2024-11-14 03:45:05.565480280,16137,Female,3,Associates,Standard,Not completed,60,61,53.0,52
2024-11-14 03:46:22.740140167,4410,Male,2,Associates,Standard,Not completed,71,66,73.0,71
2024-11-14 03:47:39.914800054,17997,Male,1,Some College,Standard,Completed,69,73,75.0,78
2024-11-14 03:48:57.089459942,15283,Male,2,Some High School,Standard,Completed,77,81,80.0,78
2024-11-14 03:50:14.264119829,5746,Female,2,Bachelors,Free or Reduced,Not completed,73,74,67.0,68
2024-11-14 03:51:31.438779716,10580,Female,3,Associates,Standard,Not completed,91,83,74.0,73
2024-11-14 03:52:48.613439604,10755,Male,0,Bachelors,Standard,Not completed,62,68,70.0,74
2024-11-14 03:54:05.788099491,1837,Female,1,Some High School,Standard,Completed,44,46,39.0,33
2024-11-14 03:55:22.962759378,4867,Male,3,Some High School,Free or Reduced,Not completed,60,53,61.0,64
2024-11-14 03:56:40.137419266,27011,Male,2,Associates,Free or Reduced,Not completed,58,57,59.0,70
2024-11-14 03:57:57.312079153,3383,Female,5,Associates,Standard,Completed,56,58,51.0,53
2024-11-14 03:59:14.486739040,13902,Male,0,Some College,Standard,Not completed,51,43,53.0,47
2024-11-14 04:00:31.661398928,23813,Male,1,Masters,Standard,Not completed,71,74,76.0,76
2024-11-14 04:01:48.836058815,19042,Male,3,Associates,Free or Reduced,Not completed,77,76,74.0,84
2024-11-14 04:03:06.010718702,14611,Male,1,Associates,Standard,Not completed,62,59,67.0,63
2024-11-14 04:04:23.185378590,3193,Male,3,High School,Standard,Not completed,77,80,80.0,91
2024-11-14 04:05:40.360038477,11096,Female,1,Bachelors,Free or Reduced,Not completed,79,79,71.0,64
2024-11-14 04:06:57.534698364,2240,Female,3,Associates,Standard,Not completed,98,94,88.0,81
2024-11-14 04:08:14.709358252,29367,Male,1,Some High School,Free or Reduced,Completed,82,81,78.0,74
2024-11-14 04:09:31.884018139,96,Male,1,Some High School,Standard,Completed,66,62,69.0,65
2024-11-14 04:10:49.058678026,8028,Male,3,Some High School,Standard,Not completed,71,74,76.0,85
2024-11-14 04:12:06.233337913,22304,Female,0,High School,Standard,Completed,63,60,52.0,52
2024-11-14 04:13:23.407997801,21039,Male,2,Associates,Standard,Completed,97,96,95.0,99
2024-11-14 04:14:40.582657688,16519,Female,2,Some High School,Standard,Not completed,63,53,49.0,42
2024-11-14 04:15:57.757317575,27019,Female,1,High School,Free or Reduced,Completed,41,44,38.0,31
2024-11-14 04:17:14.931977463,30422,Female,3,Bachelors,Standard,Not completed,72,73,67.0,58
2024-11-14 04:18:32.106637350,6157,Male,0,Some College,Free or Reduced,Completed,64,58,62.0,53
2024-11-14 04:19:49.281297237,24115,Male,3,Some College,Free or Reduced,Completed,63,58,60.0,57
2024-11-14 04:21:06.455957125,2676,Female,2,Some High School,Standard,Completed,70,74,64.0,53
2024-11-14 04:22:23.630617012,14867,Female,3,Bachelors,Free or Reduced,Not completed,86,88,75.0,76
2024-11-14 04:23:40.805276899,8688,Female,2,Some High School,Standard,Completed,84,95,82.0,76
2024-11-14 04:24:57.979936787,29059,Female,0,Bachelors,Standard,Not completed,97,92,86.0,83
2024-11-14 04:26:15.154596674,21842,Male,2,Associates,Free or Reduced,Not completed,49,46,54.0,45
2024-11-14 04:27:32.329256561,2884,Male,5,Associates,Standard,Not completed,50,48,57.0,62
2024-11-14 04:28:49.503916449,12609,Male,3,Bachelors,Standard,Not completed,86,92,91.0,98
2024-11-14 04:30:06.678576336,4303,Male,2,Bachelors,Free or Reduced,Not completed,51,45,54.0,50
2024-11-14 04:31:23.853236223,16024,Male,2,Some High School,Standard,Not completed,76,73,79.0,83
2024-11-14 04:32:41.027896111,27794,Female,1,High School,Standard,Not completed,72,66,60.0,68
2024-11-14 04:33:58.202555998,29650,Male,5,Associates,Standard,Not completed,68,64,74.0,78
2024-11-14 04:35:15.377215885,12560,Female,2,Associates,Standard,Not completed,81,73,68.0,63
2024-11-14 04:36:32.551875772,7842,Male,3,Masters,Free or Reduced,Completed,67,67,70.0,60
2024-11-14 04:37:49.726535660,6529,Male,2,Some High School,Standard,Completed,50,50,56.0,55
2024-11-14 04:39:06.901195547,27583,Male,2,Some College,Standard,Not completed,56,48,57.0,64
2024-11-14 04:40:24.075855434,11783,Male,0,Associates,Standard,Not completed,67,69,74.0,71
2024-11-14 04:41:41.250515322,25806,Female,2,Some College,Standard,Not completed,67,67,59.0,56
2024-11-14 04:42:58.425175209,24531,Female,3,High School,Standard,Completed,91,90,80.0,78
2024-11-14 04:44:15.599835096,23114,Female,2,Some High School,Standard,Not completed,71,67,60.0,58
2024-11-14 04:45:32.774494984,15547,Male,0,High School,Standard,Not completed,67,61,69.0,66
2024-11-14 04:46:49.949154871,10697,Female,1,Bachelors,Standard,Completed,82,86,75.0,69
2024-11-14 04:48:07.123814758,11029,Female,3,Associates,Free or Reduced,Not completed,50,57,46.0,48
2024-11-14 04:49:24.298474646,16841,Male,0,Masters,Standard,Not completed,61,58,62.0,57
2024-11-14 04:50:41.473134533,13826,Male,2,Some High School,Standard,Not completed,40,43,50.0,52
2024-11-14 04:51:58.647794420,1109,Female,2,Some High School,Free or Reduced,Not completed,77,75,67.0,58
2024-11-14 04:53:15.822454308,21250,Male,2,Bachelors,Free or Reduced,Not completed,66,60,66.0,69
2024-11-14 04:54:32.997114195,30600,Male,2,Some College,Standard,Not completed,60,57,63.0,73
2024-11-14 04:55:50.171774082,4932,Male,5,Bachelors,Free or Reduced,Not completed,55,53,56.0,72
2024-11-14 04:57:07.346433970,11762,Female,1,Bachelors,Standard,Completed,100,97,88.0,84
2024-11-14 04:58:24.521093857,19382,Male,2,Associates,Free or Reduced,Not completed,62,58,61.0,64
2024-11-14 04:59:41.695753744,12136,Male,3,Associates,Standard,Not completed,76,79,79.0,91
2024-11-14 05:00:58.870413631,24998,Male,1,Some College,Free or Reduced,Completed,58,64,64.0,61
2024-11-14 05:02:16.045073519,30475,Female,2,Masters,Free or Reduced,Not completed,78,76,68.0,62
2024-11-14 05:03:33.219733406,11436,Male,2,High School,Standard,Not completed,83,74,85.0,70
2024-11-14 05:04:50.394393293,26688,Female,1,Bachelors,Standard,Not completed,54,57,47.0,59
2024-11-14 05:06:07.569053181,9073,Female,2,Some College,Standard,Not completed,49,44,39.0,28
2024-11-14 05:07:24.743713068,23744,Male,0,Bachelors,Free or Reduced,Completed,56,54,56.0,50
2024-11-14 05:08:41.918372955,15394,Female,0,Bachelors,Standard,Not completed,83,78,72.0,70
2024-11-14 05:09:59.093032843,26995,Male,2,High School,Standard,Not completed,53,48,56.0,68
2024-11-14 05:11:16.267692730,20684,Female,1,Masters,Free or Reduced,Not completed,69,67,57.0,69
2024-11-14 05:12:33.442352617,12659,Female,3,Some College,Standard,Not completed,75,78,69.0,75
2024-11-14 05:13:50.617012505,2222,Female,2,Some College,Standard,Completed,65,70,59.0,62
2024-11-14 05:15:07.791672392,28906,Female,3,Bachelors,Standard,Completed,64,63,57.0,58
2024-11-14 05:16:24.966332279,18783,Female,2,Associates,Standard,Not completed,94,97,86.0,84
2024-11-14 05:17:42.140992167,24074,Male,1,Bachelors,Free or Reduced,Not completed,61,56,61.0,63
2024-11-14 05:18:59.315652054,4229,Female,3,Masters,Standard,Completed,50,54,42.0,46
2024-11-14 05:20:16.490311941,9237,Female,2,High School,Standard,Not completed,71,62,58.0,58
2024-11-14 05:21:33.664971829,13185,Female,5,Some High School,Standard,Completed,63,62,54.0,52
2024-11-14 05:22:50.839631716,30626,Male,3,High School,Free or Reduced,Not completed,62,61,66.0,69
2024-11-14 05:24:08.014291603,15079,Female,1,Associates,Free or Reduced,Completed,43,48,39.0,32
2024-11-14 05:25:25.188951491,28200,Female,2,High School,Free or Reduced,Not completed,80,75,69.0,57
2024-11-14 05:26:42.363611378,9366,Male,5,Some College,Standard,Not completed,67,66,75.0,74
2024-11-14 05:27:59.538271265,4672,Male,1,Masters,Free or Reduced,Not completed,72,67,70.0,75
2024-11-14 05:29:16.712931152,5096,Female,3,Associates,Free or Reduced,Completed,59,64,54.0,57
2024-11-14 05:30:33.887591040,30538,Female,1,Some High School,Standard,Completed,96,93,86.0,83
2024-11-14 05:31:51.062250927,6672,Male,2,High School,Standard,Not completed,82,77,85.0,75
2024-11-14 05:33:08.236910814,28342,Female,0,Some High School,Free or Reduced,Not completed,43,42,35.0,34
2024-11-14 05:34:25.411570702,16258,Male,1,Some High School,Standard,Completed,65,57,65.0,60
2024-11-14 05:35:42.586230589,23457,Female,3,Bachelors,Standard,Not completed,78,85,74.0,76
2024-11-14 05:36:59.760890476,26925,Male,1,Associates,Standard,Completed,54,60,64.0,57
2024-11-14 05:38:16.935550364,13815,Female,5,Some High School,Standard,Not completed,82,74,74.0,84
2024-11-14 05:39:34.110210251,21581,Female,1,High School,Standard,Not completed,72,66,60.0,59
2024-11-14 05:40:51.284870138,12584,Male,2,High School,Standard,Completed,67,61,69.0,71
2024-11-14 05:42:08.459530026,1684,Male,3,Associates,Standard,Not completed,89,85,92.0,92
2024-11-14 05:43:25.634189913,19852,Female,1,Some College,Standard,Completed,79,84,73.0,67
2024-11-14 05:44:42.808849800,9791,Male,2,Associates,Free or Reduced,Completed,86,89,86.0,84
2024-11-14 05:45:59.983509688,26165,Female,3,Associates,Free or Reduced,Completed,65,69,58.0,56
2024-11-14 05:47:17.158169575,20014,Male,3,Some High School,Standard,Not completed,44,44,51.0,53
2024-11-14 05:48:34.332829462,22568,Male,3,Associates,Standard,Not completed,68,72,75.0,71
2024-11-14 05:49:51.507489350,24508,Male,5,Associates,Standard,Not completed,88,84,92.0,93
2024-11-14 05:51:08.682149237,6081,Male,5,Some College,Standard,Not completed,82,79,89.0,88
2024-11-14 05:52:25.856809124,16272,Male,1,Some College,Free or Reduced,Not completed,53,43,52.0,45
2024-11-14 05:53:43.031469011,28799,Male,2,Some High School,Standard,Not completed,76,75,79.0,85
2024-11-14 05:55:00.206128899,15045,Female,3,Bachelors,Standard,Not completed,70,64,60.0,59
2024-11-14 05:56:17.380788786,20816,Female,2,Bachelors,Standard,Completed,78,86,71.0,75
2024-11-14 05:57:34.555448673,19240,Female,1,High School,Free or Reduced,Completed,64,68,55.0,52
2024-11-14 05:58:51.730108561,28011,Female,2,Associates,Standard,Not completed,65,69,60.0,61
2024-11-14 06:00:08.904768448,15071,Male,2,High School,Standard,Completed,67,64,71.0,62
